,nodename,filesize_per_thread xfersize blocksize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
315,CN7,8G 4M 32M,1,1,27045.0,32287.0,52298.0,52298.0,0.0,0.0,0.0,1389.0,2948.22,2924.01,2853.36,184.27,325.53,324.8,325.61,20.65
316,CN7,8G 4M 32M,1,4,27045.0,31588.0,50113.0,50113.0,0.0,0.0,0.0,1387.0,2941.09,182.81,2976.21,2878.46,327.88,20.44,325.36,326.39
317,CN7,8G 4M 32M,1,16,25996.0,31151.0,32724.0,32724.0,0.0,0.0,0.0,1419.0,182.27,2981.02,2981.3,2860.31,20.31,325.44,326.07,326.55
318,CN7,8G 4M 32M,2,1,24511.0,27831.0,33030.0,33030.0,0.0,0.0,0.0,2681.33,5719.41,5739.24,2967.41,2978.97,631.53,631.89,325.77,327.88
319,CN7,8G 4M 32M,2,4,24511.0,28093.0,34647.0,34647.0,0.0,0.0,0.0,2699.0,2958.6,3025.43,5695.93,5712.34,329.29,327.78,633.17,634.75
320,CN7,8G 4M 32M,2,16,24773.0,28093.0,32375.0,32375.0,0.0,0.0,0.0,2662.0,5786.6,5702.36,2998.54,2925.01,634.11,630.41,327.16,326.86
321,CN7,8G 4M 32M,4,1,24860.0,27919.0,33555.0,34035.0,0.0,0.0,0.0,5189.67,8256.48,8265.06,8191.35,8260.42,908.43,905.69,906.08,904.82
322,CN7,8G 4M 32M,4,4,25297.0,28967.0,33598.0,34734.0,0.0,0.0,0.0,5117.0,8233.03,8308.74,8226.33,8323.94,907.26,907.22,903.99,909.93
323,CN7,8G 4M 32M,4,16,25297.0,28093.0,32550.0,33555.0,0.0,0.0,0.0,5157.67,8268.98,8341.86,8218.27,8289.87,906.22,909.94,906.93,907.78
324,CN7,8G 4M 32M,8,1,60730.0,65187.0,70080.0,72527.0,0.0,0.0,0.0,5127.0,9425.05,9420.24,9374.61,9440.62,1027.94,1027.45,1028.17,1030.8
325,CN7,8G 4M 32M,8,4,60905.0,64924.0,71129.0,76022.0,0.0,0.0,0.0,5147.0,9422.59,9458.07,9317.51,9541.54,1028.72,1028.27,1027.29,1032.12
326,CN7,8G 4M 32M,8,16,63002.0,67197.0,71828.0,77770.0,0.0,0.0,0.0,4969.33,9069.85,9229.68,9001.73,9158.37,987.11,990.59,985.11,989.52
327,CN7,8G 4M 32M,16,1,130.0,136.0,143.0,145.0,0.0,0.0,0.0,4723.0,9611.8,9661.01,9612.77,9651.77,1046.09,1045.01,1044.5,1046.54
328,CN7,8G 4M 32M,16,4,128.0,134.0,143.0,152.0,0.0,0.0,0.0,4847.33,9850.92,9829.17,9796.96,9840.72,1068.14,1068.6,1067.2,1067.99
329,CN7,8G 4M 32M,16,16,129.0,135.0,142.0,149.0,0.0,0.0,0.0,4785.33,9706.29,9728.04,9788.23,9688.67,1055.5,1056.1,1055.61,1056.36
330,CN7,16G 4M 32M,1,1,25035.0,30540.0,33817.0,33817.0,0.0,0.0,0.0,1439.0,3437.02,113.28,3345.67,3374.36,380.74,12.35,378.19,379.62
331,CN7,16G 4M 32M,1,4,23811.0,27831.0,32462.0,32462.0,0.0,0.0,0.0,1425.0,110.1,3428.56,3392.58,3291.93,12.26,379.38,379.9,379.75
332,CN7,16G 4M 32M,1,16,24336.0,29317.0,32856.0,32856.0,0.0,0.0,0.0,1426.67,3352.49,3468.18,3425.06,111.27,379.58,379.46,379.48,12.47
333,CN7,16G 4M 32M,2,1,24249.0,25647.0,32288.0,32550.0,0.0,0.0,0.0,2711.33,6226.79,3274.82,3170.22,6300.28,699.54,356.71,356.37,701.31
334,CN7,16G 4M 32M,2,4,24598.0,25734.0,34691.0,38710.0,0.0,0.0,0.0,2676.33,3234.49,6388.14,6357.62,3155.42,355.61,700.94,701.27,355.9
335,CN7,16G 4M 32M,2,16,24336.0,25647.0,32724.0,34210.0,0.0,0.0,0.0,2720.0,6464.71,3256.49,3213.22,6502.72,723.05,355.72,356.26,724.86
336,CN7,16G 4M 32M,4,1,25996.0,28181.0,34691.0,36264.0,0.0,0.0,0.0,5189.0,9616.76,9658.91,9673.96,9488.12,1047.66,1044.83,1046.22,1045.81
337,CN7,16G 4M 32M,4,4,26258.0,27744.0,33773.0,35390.0,0.0,0.0,0.0,5045.33,9406.34,9471.18,9473.72,9307.27,1023.16,1023.71,1025.53,1024.39
