0802-1238
CN8,4G ,1,8,1,906,1074,1827,2245,1318,1495,1414.60,1494,2090.99,1406.66,1407.88,1407.1,262.6,177.27,177.31,177.25,1456.02,773.18,1456.06,1456.9,184.2,98.87,184.25,184.23,1456.79,1457.54,1456.2,1456.77,184.22,184.32,184.19,184.22
CN8,4G ,1,8,2,996,1172,1844,2343,1202,1492,1356.00,1443,1209.57,1209.14,620.04,1210.08,151.94,151.95,78.83,151.94,1251.43,1252.28,1248.33,1248.48,157.89,157.9,157.93,157.91,1838.1,1249.17,1248.31,1251.79,231.06,157.99,157.88,157.91
CN8,4G ,1,8,3,996,1205,1876,2311,1194,1480,1351.80,1439,1205.86,1210.15,1206.18,1206.09,151.94,151.96,151.98,151.93,1249.71,1834.7,1252.04,1249.04,157.91,231.05,157.94,157.92,1248.67,1248.3,662.44,1248.21,157.9,157.97,84.73,157.91
CN8,4G ,1,8,4,930,1123,1795,2245,1170,1464,1386.00,1464,1406.84,1406.67,2096.22,1411.27,177.26,177.27,262.66,177.26,1455.65,1455.65,1456.03,773.37,184.19,184.19,184.24,98.89,1460.77,1460.67,1455.66,1456.57,184.22,184.3,184.18,184.21
CN8,4G ,1,8,5,898,1057,1860,2376,1358,1486,1418.40,1495,623.86,1205.72,1205.91,1206.09,78.79,151.95,151.97,151.93,1252.12,1251.98,1252.02,1252.73,157.9,157.9,157.93,157.92,1248.51,1248.71,1837.85,1248.34,157.91,157.98,231.04,157.9
CN8,4G ,1,12,1,1037,1336,1909,2376,1252,1465,1348.50,1416,1202.29,1206.44,1202.19,1205.52,151.37,151.4,151.41,151.36,1247.11,1246.83,1248.44,1244.72,157.32,157.32,157.37,157.35,1247.5,1244.28,1247.42,1244.47,157.34,157.41,157.31,157.34
CN8,4G ,1,12,2,1004,1270,1844,2409,1256,1460,1376.80,1455,1401.67,1401.68,1406.56,1402.28,176.59,176.61,176.64,176.59,1450.63,1450.63,1453.67,1455.33,183.52,183.52,183.57,183.55,1451.75,1455.31,1451.14,1451.38,183.55,183.63,183.51,183.54
CN8,4G ,1,12,3,971,1188,1991,2474,1360,1448,1399.80,1475,1205.15,1201.73,1202.63,1202.1,151.38,151.39,151.42,151.37,1246.67,1246.67,1243.71,1244.27,157.3,157.3,157.34,157.33,1243.63,1244.26,1243.97,1244.17,157.33,157.41,157.3,157.33
CN8,4G ,1,12,4,1004,1237,1926,2278,1160,1478,1370.40,1450,1211.72,1211.73,1202.49,1205.67,151.4,151.42,151.42,151.37,1243.38,1243.38,1244.42,1244.12,157.3,157.3,157.35,157.33,1247.05,1244.25,1244.11,1247.45,157.32,157.4,157.3,157.33
CN8,4G ,1,12,5,1037,1237,1860,2245,1282,1414,1346.80,1434,1401.68,1401.19,1413.74,1413.12,176.59,176.61,176.64,176.58,1450.93,1454.93,1455.31,1462.8,183.53,183.53,183.58,183.59,1450.22,1458.78,1450.95,1450.51,183.53,183.62,183.5,183.53
CN8,4G ,1,24,1,1270,1516,2311,2442,1276,1407,1338.17,1404,1192.01,1191.16,1193.06,1192.68,149.68,149.69,149.72,149.67,1240.21,1239.64,1240.11,1232.68,155.63,155.62,155.67,155.64,1233.75,1235.37,1239.94,1234.14,155.62,155.74,155.62,155.62
CN8,4G ,1,24,2,1270,1532,2343,2769,1188,1368,1287.33,1356,1191.02,1191.31,1188.92,1191.82,149.67,149.69,149.71,149.66,1233.49,1232.92,1230.67,1234.09,155.61,155.61,155.65,155.61,1076.89,1076.82,1079.44,1076.87,136.17,136.22,136.14,136.16
