0621-2202
CN10,4G,2,1,2,857,1020,1254,1811,1288,1474,1403.60,2929,5264.19,5190.14,5418.97,5486.12,615.59,609.89,612.35,614.74,4926.88,4945.07,5119.45,5011.14,590.47,587.47,591.34,590.55
CN10,4G,2,1,3,865,1020,1270,2180,1340,1414,1363.00,2862,5202.05,5199.43,5321.83,5475.55,615.77,606.65,605.79,612.71,5118.6,5224.36,5217.31,4995.0,592.43,591.84,591.88,584.08
CN10,4G,2,1,4,832,1029,1287,7701,1258,1470,1380.73,2840,6293.55,6282.33,6240.97,6344.48,719.59,710.54,705.28,714.2,5987.2,5853.09,6017.03,5974.67,692.88,680.84,692.13,690.45
CN10,4G,2,1,5,799,979,1237,2278,1312,1476,1431.60,2978,5430.05,5385.29,5332.12,5258.42,618.96,613.17,609.44,611.5,5002.32,5050.22,5192.17,5114.01,592.68,587.26,592.27,590.93
CN10,4G,2,2,1,889,1172,1532,5473,1314,1494,1405.00,2878,7418.9,5223.43,2827.69,5271.84,907.84,610.07,310.58,611.22,7227.32,5039.08,2718.03,4907.72,884.04,591.51,297.11,589.98
CN10,4G,2,2,2,832,971,1434,39060,1298,1470,1399.20,2920,5188.34,7408.72,5241.26,2935.56,611.74,903.87,607.51,318.65,4969.03,7230.08,5164.03,2674.58,592.47,883.5,586.9,297.91
CN10,4G,2,2,3,832,1004,1270,2180,1300,1474,1408.20,2928,2896.05,5341.29,7437.69,5334.56,321.87,612.84,904.67,608.3,2662.29,5048.31,7248.21,4998.37,292.27,588.64,881.45,585.85
CN10,4G,2,2,4,832,988,1172,25560,1290,1450,1392.20,2896,5324.62,2903.72,5287.12,7449.85,617.81,318.47,606.29,903.87,5008.61,2739.94,5101.61,7240.44,587.13,298.33,592.25,883.62
CN10,4G,2,2,5,807,979,1385,18744,1296,1522,1431.80,2960,7436.76,5298.72,2894.12,5285.28,907.92,606.24,311.23,603.04,7281.9,5113.66,2756.04,4933.3,885.98,592.65,297.8,590.51
CN10,4G,2,4,1,873,1029,1614,5604,1250,1372,1330.00,2785,4234.05,6295.72,6283.69,4267.99,467.25,758.58,758.08,466.63,4057.99,6086.96,6081.87,4031.94,443.07,736.92,732.87,444.1
