,nodename,filesize_per_thread xfersize blocksize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
23,CN7,8G 1M 1M,4,16,919.0,1899.0,4167.0,6521.0,1178.0,1512.0,1386.17,5762.33,8602.13,8640.54,8572.94,8562.98,944.06,943.56,942.02,941.4
24,CN7,8G 1M 1M,8,1,4751.0,6914.0,9852.0,11687.0,541.0,1339.0,635.73,5302.33,9645.44,9622.65,9592.88,9529.46,1051.68,1051.31,1049.61,1047.63
25,CN7,8G 1M 1M,8,4,4926.0,7286.0,10158.0,12517.0,524.0,1365.0,616.33,5135.0,9649.03,9606.45,9617.44,9643.13,1049.4,1049.33,1050.28,1051.66
26,CN7,8G 1M 1M,8,16,4773.0,7023.0,9896.0,11644.0,542.0,1367.0,632.53,5278.67,9585.06,9554.03,9593.58,9537.43,1051.78,1048.42,1051.06,1051.95
27,CN7,8G 1M 1M,16,1,8400.0,10945.0,13741.0,16734.0,244.0,867.0,288.54,4820.33,9721.47,9767.03,9731.01,9709.67,1059.0,1057.05,1058.59,1058.62
28,CN7,8G 1M 1M,16,4,8247.0,10770.0,13435.0,16057.0,249.0,885.0,292.95,4887.67,9946.05,9932.25,9887.18,9902.6,1078.51,1078.63,1079.82,1080.37
29,CN7,8G 1M 1M,16,16,8116.0,10683.0,13435.0,15729.0,248.0,871.0,294.71,4910.33,10007.6,10026.54,10005.96,9977.06,1090.85,1091.36,1091.6,1091.06
30,CN7,16G 1M 1M,1,1,752.0,979.0,1592.0,2958.0,1309.0,1527.0,1457.83,1528.67,3505.06,3370.13,3510.17,145.52,408.86,406.29,407.97,16.22
31,CN7,16G 1M 1M,1,4,744.0,968.0,1696.0,3484.0,1310.0,1538.0,1469.09,1540.67,3532.02,3379.79,142.9,3453.57,408.28,407.76,15.92,409.11
32,CN7,16G 1M 1M,1,16,750.0,979.0,1658.0,3108.0,1318.0,1533.0,1461.97,1533.67,3456.46,143.88,3524.75,3456.18,408.42,15.99,408.56,408.36
33,CN7,16G 1M 1M,2,1,774.0,914.0,1668.0,3184.0,1325.0,1457.0,1413.68,2947.0,3589.98,6395.51,6632.41,3495.7,408.91,772.57,775.03,408.38
34,CN7,16G 1M 1M,2,4,769.0,897.0,1874.0,3173.0,1339.0,1482.0,1421.94,2969.67,6731.39,3366.14,3485.42,6747.95,800.33,407.46,407.48,800.91
35,CN7,16G 1M 1M,2,16,775.0,903.0,1805.0,3042.0,1311.0,1474.0,1412.01,2937.67,3434.53,6182.62,6441.65,3460.4,407.27,746.1,749.44,407.83
36,CN7,16G 1M 1M,4,1,1243.0,2704.0,5713.0,8553.0,1076.0,1500.0,1261.37,5252.67,9685.01,9685.94,9668.33,9698.06,1047.71,1050.69,1050.72,1048.13
37,CN7,16G 1M 1M,4,4,1275.0,2780.0,5691.0,9077.0,1024.0,1502.0,1255.03,5224.0,9671.96,9708.03,9625.69,9709.56,1049.54,1050.84,1049.42,1048.14
38,CN7,16G 1M 1M,4,16,1206.0,2532.0,5450.0,8083.0,1016.0,1502.0,1271.48,5305.0,9859.29,9818.99,9796.65,9821.09,1072.02,1070.91,1071.28,1072.28
39,CN7,16G 1M 1M,8,1,4926.0,7177.0,10115.0,12168.0,524.0,1370.0,599.54,5005.0,10084.49,10185.43,10117.07,10258.74,1101.3,1102.25,1101.32,1104.21
40,CN7,16G 1M 1M,8,4,4861.0,7089.0,9896.0,12168.0,530.0,1356.0,604.12,5049.33,10262.29,10277.5,10202.29,10261.9,1114.77,1112.82,1112.76,1114.28
41,CN7,16G 1M 1M,8,16,5014.0,7395.0,10290.0,12387.0,520.0,1363.0,590.39,4930.33,9921.27,9960.32,9932.21,9978.24,1078.33,1076.82,1078.51,1077.78
42,CN7,16G 1M 1M,16,1,8498.0,11076.0,13872.0,16493.0,243.0,866.0,281.67,4707.0,10094.43,10169.38,10175.2,10336.31,1088.44,1087.68,1088.96,1089.51
43,CN7,16G 1M 1M,16,4,8290.0,10726.0,13347.0,15795.0,243.0,897.0,285.82,4779.33,10389.16,10314.37,10399.16,10451.21,1106.4,1105.23,1105.7,1105.77
44,CN7,16G 1M 1M,16,16,8498.0,11076.0,13741.0,16100.0,240.0,884.0,280.93,4694.67,10278.86,10225.37,10246.62,10389.31,1088.14,1088.45,1087.04,1087.55
45,CN7,32G 1M 1M,1,1,728.0,864.0,1827.0,4970.0,1298.0,1542.0,1480.42,1552.33,3708.06,3730.36,82.64,3740.4,447.61,447.58,9.05,447.48
46,CN7,32G 1M 1M,1,4,741.0,905.0,2018.0,3932.0,1303.0,1542.0,1466.79,1538.0,3722.97,85.27,3831.56,3759.11,448.14,9.1,448.06,447.91
47,CN7,32G 1M 1M,1,16,728.0,900.0,2220.0,4680.0,1274.0,1565.0,1481.08,1553.33,86.59,3733.31,3709.26,3733.87,9.23,447.72,447.81,447.72
48,CN7,32G 1M 1M,2,1,801.0,906.0,1657.0,2477.0,1265.0,1475.0,1384.55,2876.33,7071.66,7043.61,3609.04,3624.0,823.07,822.6,415.95,415.31
49,CN7,32G 1M 1M,2,4,804.0,906.0,1554.0,2638.0,1271.0,1470.0,1380.18,2878.0,3622.29,3498.97,7114.52,7322.47,416.38,415.55,823.48,825.33
50,CN7,32G 1M 1M,2,16,801.0,900.0,1647.0,2835.0,1279.0,1476.0,1388.47,2887.0,7010.22,7044.63,3584.26,3649.97,822.25,822.64,416.43,415.79
51,CN7,32G 1M 1M,4,1,1357.0,2879.0,5909.0,9241.0,938.0,1510.0,1206.87,5010.0,10181.26,10202.02,10127.11,10254.06,1101.73,1102.5,1102.17,1102.23
52,CN7,32G 1M 1M,4,4,1188.0,2507.0,5254.0,8640.0,986.0,1525.0,1241.61,5161.67,10551.08,10532.42,10445.93,10528.34,1138.34,1139.1,1139.54,1140.49
53,CN7,32G 1M 1M,4,16,1357.0,2900.0,5822.0,8684.0,986.0,1506.0,1205.28,5024.33,10221.42,10200.62,10171.27,10177.87,1101.24,1102.37,1103.83,1100.96
54,CN7,32G 1M 1M,8,1,5036.0,7395.0,10333.0,12649.0,512.0,1360.0,580.13,4848.67,10592.23,10410.7,10486.48,10434.36,1118.23,1117.68,1116.19,1117.88
55,CN7,32G 1M 1M,8,4,4926.0,7460.0,11513.0,19093.0,456.0,1404.0,580.94,4578.33,9760.36,8472.09,9679.64,10868.95,1058.84,903.91,1059.09,1205.37
56,CN7,32G 1M 1M,8,16,4992.0,7329.0,10246.0,12605.0,508.0,1373.0,584.53,4888.0,10610.8,10554.37,10535.5,10578.04,1123.96,1123.36,1122.85,1122.72
57,CN7,32G 1M 1M,16,1,7941.0,14200.0,142825.0,205499.0,158.0,580.0,185.78,4216.67,7037.15,10635.81,11714.31,6926.44,736.06,1187.21,1324.06,734.89
58,CN7,32G 1M 1M,16,4,8018.0,16603.0,194009.0,399988.0,79.0,287.0,93.21,3646.67,7037.62,3415.96,12266.46,7025.4,809.51,368.72,1453.98,809.86
59,CN7,32G 1M 1M,16,16,8301.0,24641.0,190754.0,511006.0,0.0,0.0,0.0,3419.0,6561.62,7824.3,4841.45,7224.62,796.51,949.47,591.96,874.47
