0614-2017
CN9,4G,2,4,5,791,971,1287,2008,1368,1477,1423.50,2950
CN9,4G,2,8,1,816,955,1614,20317,1286,1498,1386.80,2919
CN9,4G,2,8,2,816,979,1614,1926,1274,1464,1388.80,2899
CN9,4G,2,8,3,816,955,1696,1958,1274,1426,1382.80,2917
CN9,4G,2,8,4,816,963,1647,1958,1276,1452,1400.40,2921
CN9,4G,2,8,5,807,938,1762,2057,1260,1482,1388.00,2895
CN9,4G,2,12,1,783,889,1680,1827,1328,1490,1414.80,2962
CN9,4G,2,12,2,799,971,1729,4490,1356,1470,1420.90,2959
CN9,4G,2,12,3,816,971,1663,1762,1318,1398,1379.60,2883
CN9,4G,2,12,4,807,947,1663,1893,1334,1474,1397.60,2924
CN9,4G,2,12,5,807,971,1663,1827,1272,1502,1406.20,2946
CN9,4G,2,24,1,824,971,1647,1958,1250,1430,1381.60,2884
CN9,4G,2,24,2,799,963,1631,1876,1364,1568,1430.60,3014
CN9,4G,2,24,3,816,947,1631,1926,1331,1406,1388.60,2896
CN9,4G,2,24,4,816,971,1713,1893,1268,1464,1399.60,2914
CN9,4G,2,24,5,799,963,1647,1893,1332,1482,1427.00,2966
CN9,4G,4,1,1,791,988,1369,2073,1284,1493,1440.60,5773
CN9,4G,4,1,2,775,996,1369,1909,1258,1484,1444.20,5892
CN9,4G,4,1,3,799,996,1467,2147,1172,1468,1403.33,5713
CN9,4G,4,1,4,816,1004,1516,2507,1294,1502,1412.10,5746
CN9,4G,4,1,5,783,996,1516,7177,1350,1512,1448.60,5984
CN9,4G,4,2,1,791,955,1156,1876,1294,1498,1447.90,5843
CN9,4G,4,2,2,791,922,1139,7570,1292,1504,1438.60,5967
CN9,4G,4,2,3,832,1020,1254,1844,1274,1512,1416.05,5877
CN9,4G,4,2,4,799,988,1205,1696,1278,1488,1434.00,5812
CN9,4G,4,2,5,807,1004,1270,1860,1320,1484,1436.60,5955
CN9,4G,4,4,1,898,1090,1549,2114,1242,1462,1385.59,5657
CN9,4G,4,4,2,848,1029,1500,2442,1280,1486,1415.30,5755
CN9,4G,4,4,3,865,1074,1532,1926,1324,1474,1413.40,5740
CN9,4G,4,4,4,848,1029,1516,2024,1250,1468,1392.43,5644
CN9,4G,4,4,5,873,1045,1500,1827,1248,1438,1381.52,5571
CN9,4G,4,8,1,898,1057,1565,1876,1226,1450,1379.36,5622
CN9,4G,4,8,2,865,1029,1942,4424,1268,1454,1397.90,5775
CN9,4G,4,8,3,898,1106,1631,1975,1250,1446,1369.45,5596
CN9,4G,4,8,4,930,1123,1565,1827,1236,1426,1358.82,5498
CN9,4G,4,8,5,889,1057,1532,1713,1244,1420,1365.05,5491
CN9,4G,4,12,1,922,1123,1614,2114,1290,1402,1361.86,5622
CN9,4G,4,12,2,898,1106,1663,2114,1252,1414,1361.96,5676
CN9,4G,4,12,3,930,1139,1631,1991,1276,1410,1367.43,5721
CN9,4G,4,12,4,898,1074,1647,2212,1292,1394,1354.73,5622
CN9,4G,4,12,5,906,1123,1745,2147,1304,1422,1368.50,5668
CN9,4G,4,24,1,889,1074,1663,2638,1270,1412,1364.86,5544
CN9,4G,4,24,2,906,1074,1565,2073,1258,1384,1341.50,5401
CN9,4G,4,24,3,914,1106,1647,2638,1272,1406,1359.30,5674
CN9,4G,4,24,4,914,1139,1598,2147,1277,1412,1351.04,5622
CN9,4G,4,24,5,922,1123,1647,1827,1314,1417,1371.43,5694
CN9,4G,8,1,1,3064,7570,10814,15008,602,1514,941.18,7223
CN9,4G,8,1,2,3064,8225,11994,19268,558,1512,926.32,7099
CN9,4G,8,1,3,3097,8094,11863,14484,578,1506,924.17,7076
CN9,4G,8,1,4,3130,7701,11207,18744,596,1510,938.52,7170
CN9,4G,8,1,5,3064,7767,11469,15401,576,1512,929.24,7118
CN9,4G,8,2,1,3359,9896,15139,17433,336,1458,885.78,6076
CN9,4G,8,2,2,3490,10028,14484,16909,292,1510,887.46,6050
CN9,4G,8,2,3,3326,10159,15664,18482,354,1478,881.59,6028
CN9,4G,8,2,4,3425,9765,15795,17957,332,1470,880.62,6033
CN9,4G,8,2,5,3163,10683,14877,17433,250,1514,898.31,6086
CN9,4G,8,4,1,1516,10159,14615,18482,462,1413,987.22,7921
CN9,4G,8,4,2,1729,9896,13960,16188,452,1420,987.84,7829
CN9,4G,8,4,3,1614,10814,15401,17433,426,1421,966.92,7642
CN9,4G,8,4,4,1598,9634,15270,18744,376,1418,983.68,7742
CN9,4G,8,4,5,1434,10159,15008,17171,436,1412,983.27,7821
CN9,4G,8,8,1,1467,9372,14615,20317,478,1406,999.85,7654
CN9,4G,8,8,2,1074,10552,15926,19792,486,1436,1009.72,7639
CN9,4G,8,8,3,1237,10028,15270,18220,438,1422,981.97,7688
CN9,4G,8,8,4,1106,10552,15795,19530,474,1430,991.92,7687
CN9,4G,8,8,5,1139,9372,15139,17695,456,1392,1009.03,7767
CN9,4G,8,12,1,955,1352,38536,40109,526,1408,1075.50,8362
CN9,4G,8,12,2,955,1500,41681,42206,516,1414,1040.37,8356
CN9,4G,8,12,3,955,1434,41681,42206,514,1412,1041.90,8409
CN9,4G,8,12,4,988,1418,40633,42206,530,1422,1032.19,8380
CN9,4G,8,12,5,955,1319,39584,40633,548,1392,1038.70,8318
CN9,4G,8,24,1,947,1450,34341,39060,596,1396,1050.78,8360
CN9,4G,8,24,2,947,1401,33817,34341,600,1390,1073.50,8482
CN9,4G,8,24,3,988,1549,33817,34866,562,1408,1067.21,8444
CN9,4G,8,24,4,988,1500,33424,34341,578,1398,1024.29,8171
CN9,4G,8,24,5,971,1532,32637,33817,556,1390,1028.71,8342
CN9,4G,16,1,1,10683,30802,33162,33817,204,1354,439.49,5892
CN9,4G,16,1,2,11469,26346,28181,30278,212,1352,444.00,5861
CN9,4G,16,1,3,11600,26346,28181,33424,197,1380,428.15,5698
CN9,4G,16,1,4,10814,26346,28181,32113,168,1382,441.49,5853
CN9,4G,16,1,5,10814,26346,28181,29492,214,1385,436.96,5821
CN9,4G,16,2,1,12649,18482,22414,26084,194,1144,393.14,5994
CN9,4G,16,2,2,11600,17171,20841,26346,198,1225,407.49,6169
CN9,4G,16,2,3,11994,16909,20579,23987,134,1298,425.18,6147
CN9,4G,16,2,4,11076,16057,19792,21890,166,1328,441.42,6381
CN9,4G,16,2,5,11994,17433,21103,23987,198,1210,395.47,6035
CN9,4G,16,4,1,11076,16450,20317,23462,175,1278,441.11,6105
CN9,4G,16,4,2,11469,17171,21365,24511,166,1146,426.52,5938
CN9,4G,16,4,3,10945,16319,20579,24249,218,1454,433.09,6369
CN9,4G,16,4,4,12125,17695,21365,24249,162,1240,433.91,5872
CN9,4G,16,4,5,10814,16188,20579,24249,174,1222,440.27,6184
CN9,4G,16,8,1,14615,21890,31065,38536,224,1190,416.16,6327
CN9,4G,16,8,2,14222,21890,32637,38536,212,1228,415.75,6229
CN9,4G,16,8,3,12125,18220,24511,31327,214,1214,419.56,6490
CN9,4G,16,8,4,15664,22938,34341,40109,214,1244,392.37,5917
CN9,4G,16,8,5,15795,23725,34341,39584,222,1178,392.63,5894
CN9,4G,16,12,1,12518,21627,30278,34341,306,1192,425.48,7079
CN9,4G,16,12,2,12911,25297,35390,40633,296,1268,425.38,7019
CN9,4G,16,12,3,13435,24511,33162,41681,294,1188,418.31,6941
CN9,4G,16,12,4,13304,25297,33817,38011,288,1226,404.00,6695
CN9,4G,16,12,5,12780,23987,31065,34341,294,1154,420.68,6979
CN9,4G,16,24,1,13173,23462,30278,33817,282,1170,401.71,6650
CN9,4G,16,24,2,13566,25822,33817,38011,276,1210,407.34,6721
CN9,4G,16,24,3,13435,26870,34866,39584,274,1182,404.72,6702
CN9,4G,16,24,4,13304,25035,32637,35914,304,1266,426.30,7039
CN9,4G,16,24,5,14353,30802,40633,46400,282,1181,395.89,6565
CN9,8G,1,1,1,840,1074,1336,1926,1350,1488,1436.55,1503
CN9,8G,1,1,2,766,1020,1860,2442,1334,1544,1452.82,1524
CN9,8G,1,1,3,734,996,1532,2008,1338,1488,1449.64,1520
CN9,8G,1,1,4,775,1029,1303,6980,1295,1518,1446.27,1518
CN9,8G,1,1,5,824,1045,1254,7701,1302,1558,1446.09,1517
CN9,8G,1,2,1,742,1004,1156,8356,1216,1508,1459.27,1531
CN9,8G,1,2,2,857,1037,1172,4015,1292,1456,1383.09,1459
CN9,8G,1,2,3,799,1020,1139,5014,1324,1548,1471.45,1540
